secCode,secName,orgId,announcementTitle,adjunctUrl
300316,晶盛机电,9900022122,晶盛机电2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-03/1216302650.PDF
960,锡业股份,gssz0000960,锡业股份2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-03/1216302320.PDF
301175,中科环保,nssc1000852,中科环保2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-03/1216299991.PDF
601995,中金公司,qsgn0000421,中金公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-01/1216304731.PDF
600477,杭萧钢构,gssh0600477,杭萧钢构2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-01/1216304084.PDF
2583,海能达,9900019838,海能达2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-01/1216303680.PDF
2948,青岛银行,9900025494,青岛银行2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-01/1216303452.PDF
539,粤电力Ａ,gssz0000539,粤电力Ａ2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-01/1216303420.PDF
893,亚钾国际,gssz0000893,亚钾国际2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-01/1216303303.PDF
600694,大商股份,gssh0600694,大商股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-01/1216303275.PDF
800,一汽解放,gssz0000800,一汽解放2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-01/1216303118.PDF
300716,泉为科技,9900034391,泉为科技2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-01/1216302921.PDF
300188,美亚柏科,9900017110,美亚柏科2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-01/1216302851.PDF
600761,安徽合力,gssh0600761,安徽合力股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-01/1216302598.PDF
600570,恒生电子,gssh0600570,恒生电子股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-01/1216302568.PDF
600329,达仁堂,gssh0600329,达仁堂2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-01/1216302540.PDF
